job_item_name,job_item_comapny,job_item_area,job_item_experience,job_item_degree,job_item_salary,job_item_description
嵌入式系統開發工程師 (電子產品開發處),佳必琪國際股份有限公司,新北市中和區,3年以上,碩士,待遇面議,【IOS App Developer 】 1. 具一年以上iOS開發經驗 2. 熟悉Objective-C或Swift程式語言 3. 具備 JSON、XML等Web Service開發經驗1年以上(串接Web API) 4. 熟悉與第三方SDK開發 5. 具備Foundation及Cocoa Touch Framework撰寫實務經驗1年以上。 6. 熟練 使用版本控制 (Git) 7. 具APP上架經驗者尤佳(需提供APP名稱) 8. 具備作品集尤佳 9. 協助專案系統分析與設計 10. 熟悉Amazon Web Services 【Android App Developer】 1. 具一年以上Android開發經驗 2. 熟悉 Java 和 Android SDK / UI Guideline、物件導向程式開發 3. 具備 JSON、XML等Web Service開發經驗1年以上(串接Web API) 4. 熟悉與第三方SDK開發 5. 熟練 使用版本控制 (Git) 6. 具APP上架經驗者尤佳(需提供APP名稱) 7. 具備作品集尤佳 8. 協助專案系統分析與設計 9. 熟悉Amazon Web Services、Google Cloud Platform
MSR55 軟體資深工程師/主管,新普科技股份有限公司,新竹縣湖口鄉,2年以上,大學,待遇面議,1. 自動化設備軟體及後台管理系統開發。 2. 機械手臂控制軟體開發。
資訊類-XPG Software Developer(frontend),威剛科技股份有限公司,新北市中和區,5年以上,大學,待遇面議,Join our dynamic team of Software R&D Engineers to build the leading gaming platform ecosystem for our line of Gaming products. You’ll be responsible to maintain the frontend portion of our SW ecosystem enabling new HW and SW platforms to integrate as well as other 3rd party. 1. Drive Devices integration into Prime (Currently done by external vendor) 2. Develop UI/UX framework for SW Ecosystem 3. Maintain build environment 4. Help with additional UI/UX tasks across all other SW projects
SW_軟體工程師,宜鼎國際股份有限公司,新北市汐止區,經歷不拘,大學,待遇面議,1. 生產測試程式開發與導入(MP Tool、R/W Test...)。 2. 監控程式開發(SSD、USB、SD card...)。 3. 周邊卡(CANBus、DIO、RAID...)軟體開發。 4. 具Embedded System(ARM、MIPS、RTOS、QNX、VxWorks)開發經驗者佳。 5. 具SATA/NVMe driver開發經驗者佳。
智能應用高級工程師/主任工程師【明基BenQ 技術研發管理部】,明基電通股份有限公司,台北市內湖區,3年以上,碩士,待遇面議,1. 智能應用功能規格和測試規範制訂及相關應用可行性分析及規畫。規畫並協同廠商進行雲端會議、智能管理、互動協同等服務之開發。 2. 完善軟體開發流程。基於各應用場景及用戶回饋，建立詳盡設計評估及測試流程，並進行系統測試、修改與維護、內化至供應商開發系統。 3. 計劃管理。與各相關供應商協調合作，管理指定機種之計劃進度，確保開發時程。 4. 其他主管交辦事項。
Android 開發工程師 (具備實際APP開發經驗佳),塞席爾商悠福科技股份有限公司,台北市中山區,經歷不拘,大學,待遇面議,"ucfunnel is a global technology company. Its core product is ucX, a digital advertising exchange platform. ucfunnel collaborates with many high-quality media around the world. Under high traffic request, backend engineers need to build distributed systems with high performance and high fault tolerance. At the same time, the system has accumulated a lot of data and needs to store and process a lot of data and provide complete reports. About the Job ● Is passionate about writing clean and maintainable code ● Can create a proof-of-concept demo quickly. ● Has a desire to drive architectural changes. ● Wants to uplevel the android team and app ● Wants to be an innovator in the advertisement industry and build authentic connections for our users. Required qualifications: ● Must have 1-3 years of building and publishing Android apps. ● Must have current working Apps in the store. ● Must have knowledge of the Android SDK and relevant tools. ● Passionate about creating a great user experience ● Technical degree or additional experience ● Excellent communication skills."
(DR31- )軟體(高級)工程師 (台中),新漢股份有限公司,台中市北屯區,1年以上,大學,待遇面議,因應承接國際大廠ODM專案需求將擴編徵才，並計畫於近期獨立成立公司及IPO，歡迎菁英人才加入我們的行列。 工作內容: 負責IP-CAM Linux系統開發
,,None,None,None,待遇面議,None
,,None,None,None,待遇面議,None
(DR31- )軟體(高級)工程師 (台中),新漢股份有限公司,台中市北屯區,1年以上,大學,待遇面議,因應承接國際大廠ODM專案需求將擴編徵才，並計畫於近期獨立成立公司及IPO，歡迎菁英人才加入我們的行列。 工作內容: 負責IP-CAM Linux系統開發
